ons_id,party_name,firstname,surname,votes,share,change
E14000948,Party for a United Thanet,Grahame,Birchall,63,0.001275278,
E14000948,Independent,Dean,McCastree,61,0.001234793,
E14000948,Al-Zebabist Nation of Ooog,Zebadiah,Abu-Obadiah,30,0.000607275,
E14000949,Conservative,Andrew,Selous,28212,0.549898643,0.021774013
E14000949,Labour,Daniel,Scott,10399,0.202693747,0.006766698
E14000949,UK Independence Party,John,van Weenen,7941,0.154783253,0.112596307
E14000949,Liberal Democrat,Stephen,Rutherford,2646,0.051574926,-0.148645659
E14000949,Green,Emily,Lawrence,2106,0.041049431,
E14000950,Conservative,Gary,Streeter,28500,0.565790519,0.006063282
E14000950,Labour,Chaz,Singh,8391,0.16658064,0.042372858
E14000950,UK Independence Party,Robin,Julian,7306,0.145040896,0.083187707
E14000950,Liberal Democrat,Tom,Davies,3767,0.07478361,-0.166572186
E14000950,Green,Win,Scutt,2408,0.047804336,0.034948339
E14000951,Conservative,David,Gauke,32608,0.569402972,0.027147465
E14000951,Labour,Simon,Diggins,9345,0.163182985,0.04818739
E14000951,UK Independence Party,Mark,Anderson,6603,0.115302006,0.089751346
E14000951,Liberal Democrat,Nigel,Quinton,5872,0.102537238,-0.17681078
E14000951,Green,Charlotte,Pardy,2583,0.04510451,
E14000951,Common Sense Party,Graham,Cartmell,256,0.004470288,
E14000952,Conservative,Elizabeth,Truss,25515,0.509179804,0.025904118
E14000952,UK Independence Party,Paul,Smyth,11654,0.23256835,0.170289611
E14000952,Labour,Peter,Smith,8649,0.172600279,-0.0129338
E14000952,Liberal Democrat,Rupert,Moss-Eccardt,2217,0.044242666,-0.171688158
E14000952,Green,Sandra,Walmsley,2075,0.0414089,0.02452182
E14000953,Conservative,Jeremy,Hunt,34199,0.598732471,0.011837834
E14000953,UK Independence Party,Mark,Webber,5643,0.098793746,0.072841494
E14000953,Labour,Howard,Kaye,5415,0.09480208,0.035090943
E14000953,National Health Action Party,Louise,Irvine,4851,0.084927957,
E14000953,Liberal Democrat,Patrick,Haveron,3586,0.062781211,-0.239127659
E14000953,Green,Susan,Ryland,3105,0.054360195,0.042309688
E14000953,Something New,Paul,Robinson,320,0.005602339,
E14000954,Conservative,Andrew,Murrison,27198,0.526654145,0.010088801
E14000954,UK Independence Party,Matthew,Brown,9030,0.174854288,0.120098892
E14000954,Labour,George,Aylett,6948,0.134539047,0.020030091
E14000954,Liberal Democrat,Trevor,Carbin,5482,0.10615185,-0.198919756
E14000954,Green,Phil,Randle,2985,0.05780067,
E14000955,Conservative,Royston,Smith,18656,0.417266831,0.053986636
E14000955,Labour and Co-operative,Rowenna,Davis,16340,0.365466339,-0.002137012
E14000955,UK Independence Party,Kim,Rose,6010,0.13442183,0.091010139
E14000955,Green,John,Spottiswoode,1876,0.041959293,0.028449431
E14000955,Liberal Democrat,Eleanor,Bell,1595,0.035674346,-0.172737795
E14000955,Trade Unionist and Socialist Coalition,Sue,Atkins,233,0.005211362,0.001428601
E14000956,Labour,Alan,Whitehead,18017,0.412741684,0.027990513
E14000956,Conservative,Jeremy,Moulton,14207,0.32546046,-0.00468189
E14000956,UK Independence Party,Pearline,Hingston,5566,0.127508476,0.088447214
E14000956,Green,Angela,Mawle,2568,0.05882892,0.038890929
E14000956,Liberal Democrat,Adrian,Ford,2121,0.048588839,-0.17466687
E14000956,Independent,Chris,Davis,770,0.017639513,
E14000956,Trade Unionist and Socialist Coalition,Nick,Chaffey,403,0.009232108,
E14000957,Conservative,David,Amess,22175,0.498213844,0.03758916
E14000957,Labour,Julian,Ware-Lane,8154,0.183198904,0.049043053
E14000957,UK Independence Party,Brian,Otridge,7803,0.175312858,0.136006341
E14000957,Liberal Democrat,Paul,Collins,4129,0.092767755,-0.201136754
E14000957,Green,Jon,Fuller,2083,0.046799524,0.032030914
E14000957,English Democrats,Jeremy,Moss,165,0.003707115,-0.008814097
E14000958,Liberal Democrat,John,Pugh,13652,0.309562141,-0.186518486
E14000958,Conservative,Damien,Moore,12330,0.279585497,-0.078825729
E14000958,Labour,Liz,Savage,8468,0.192013787,0.097948837
E14000958,UK Independence Party,Terry,Durrance,7429,0.16845423,0.117011032
E14000958,Green,Laurence,Rankin,1230,0.027890524,
E14000958,Southport Party,Jacqueline,Barlow,992,0.022493821,
E14000959,Conservative,Kwasi,Kwarteng,24386,0.496872389,0.026277937
E14000959,UK Independence Party,Redvers,Cunningham,10234,0.208520956,0.123771252
E14000959,Labour,Rebecca,Geach,9114,0.185700605,0.021042225
E14000959,Liberal Democrat,Rosie,Shimell,3163,0.064447116,-0.194347066
E14000959,Green,Paul,Jacobs,1724,0.03512704,
E14000959,Independent,Juliet,Griffith,230,0.004686322,
E14000959,Trade Unionist and Socialist Coalition,Paul,Couchman,228,0.004645571,0.000924956
E14000960,Conservative,Anne,Main,25392,0.46648173,0.058929918
E14000960,Labour,Kerry,Pollard,12660,0.232579501,0.05678694
E14000960,Liberal Democrat,Sandy,Walkington,10076,0.185108298,-0.17881713
E14000960,UK Independence Party,Chris,Wright,4271,0.078463432,0.040079785
E14000960,Green,Jack,Easton,2034,0.037367038,0.023020488
E14000961,Conservative,Steve,Double,20250,0.402096861,0.002482144
E14000961,Liberal Democrat,Stephen,Gilbert,12077,0.239808582,-0.187580384
E14000961,UK Independence Party,David,Mathews,8503,0.168840968,0.131646337
E14000961,Labour,Deborah,Hopkins,5150,0.102261671,0.030582091
E14000961,Green,Steve,Slade,2318,0.04602768,
E14000961,Mebyon Kernow,Dick,Cole,2063,0.040964238,-0.001522743
E14000962,Labour,Conor,McGinn,26378,0.570261155,0.053136638
E14000962,Conservative,Paul,Richardson,9087,0.19645019,-0.026639854
E14000962,UK Independence Party,Ian,Smith,6983,0.150964199,0.1038325
E14000962,Liberal Democrat,Denise,Aspinall,2046,0.0442321,-0.157581349
E14000962,Green,Elizabeth,Ward,1762,0.038092356,
E14000963,Labour,Marie,Rimmer,28950,0.598177573,0.069456408
E14000963,Conservative,Gillian,Keegan,7707,0.159245408,-0.018897428
E14000963,UK Independence Party,John,Beirne,6766,0.139802054,0.113196728
E14000963,Liberal Democrat,Brian,Spencer,2737,0.056553092,-0.165707709
E14000963,Green,James,Chan,2237,0.046221873,
E14000964,Conservative,Derek,Thomas,18491,0.382741348,-0.007058526
E14000964,Liberal Democrat,Andrew,George,16022,0.331636032,-0.095597695
E14000964,UK Independence Party,Graham,Calderwood,5720,0.118397086,0.062649171
E14000964,Labour,Cornelius,Olivier,4510,0.093351548,0.011667787
E14000964,Green,Tim,Andrewes,3051,0.063152012,0.034668312
E14000964,Mebyon Kernow,Rob,Simmons,518,0.010721974,0.002294457
E14000965,Conservative,Jeremy,Lefroy,23606,0.484056842,0.045214508
E14000965,Labour,Kate,Godfrey,14429,0.29587631,-0.034285517
E14000965,UK Independence Party,Ed,Whitfield,6293,0.12904218,0.094666496
E14000965,National Health Action Party,Karen,Howell,1701,0.034880144,
E14000965,Green,Mike,Shone,1390,0.028502881,0.017276543
E14000965,Liberal Democrat,Keith,Miller,1348,0.027641643,-0.13579712
E14000966,Conservative,Karen,Bradley,21770,0.51118886,0.059448589
E14000966,Labour,Trudie,McGuinness,11596,0.272289666,-0.026785993
E14000966,UK Independence Party,George,Langley-Poole,6236,0.146429662,0.064722484
E14000966,Liberal Democrat,John,Redfern,1759,0.041303684,-0.126173207
E14000966,Green,Brian,Smith,1226,0.028788128,
E14000967,Labour and Co-operative,Jonathan,Reynolds,18447,0.449554028,0.053531621
E14000967,Conservative,Martin,Riley,11761,0.286615977,-0.042281501
E14000967,UK Independence Party,Angela,McManus,7720,0.188136667,0.155308075
E14000967,Green,Jenny,Ross,1850,0.045084564,0.028474569
E14000967,Liberal Democrat,Peter,Flynn,1256,0.030608763,-0.139772117
E14000968,Conservative,Stephen,McPartland,21291,0.445427729,0.031304865
E14000968,Labour and Co-operative,Sharon,Taylor,16336,0.341764472,0.007774192
E14000968,UK Independence Party,David,Collins,6864,0.143601331,0.098719917
E14000968,Liberal Democrat,Susan,Van De Ven,1582,0.033096927,-0.133349513
E14000968,Green,Graham,White,1369,0.028640767,
E14000968,Trade Unionist and Socialist Coalition,Trevor,Palmer,175,0.003661164,
E14000968,English Democrats,Charles,Vickers,115,0.002405908,-0.005790997
E14000968,Independent,David,Cox,67,0.001401703,
S14000057,Scottish National Party,Steven,Paterson,23783,0.456181068,0.283447779
S14000057,Labour,Johanna ,Boyd,13303,0.255164477,-0.162375712
S14000057,Conservative,Stephen,Kerr,12051,0.231149899,-0.009109702
S14000057,Green,Mark,Ruskell,1606,0.030804642,0.014878423
S14000057,Liberal Democrat,Elisabeth,Wilson,1392,0.026699914,-0.118408005
E14000969,Labour,Ann,Coffey,19771,0.49865066,0.071922996
E14000969,Conservative,Daniel,Hamilton,9710,0.244898989,-0.008448997
E14000969,UK Independence Party,Steven,Woolfe,5206,0.131302177,0.109271917
E14000969,Liberal Democrat,Daniel,Hawthorne,3034,0.076521476,-0.173376295
E14000969,Green,Gary,Lawson,1753,0.044212969,0.026910781
E14000969,Left Unity,John,Pearson,175,0.00441373,
E14000970,Labour,Alex,Cunningham,19436,0.491167774,0.062715701
E14000970,Conservative,Christopher,Daniels,11069,0.279725051,0.020294194
E14000970,UK Independence Party,Mandy,Boylett,7581,0.191579692,0.152185292
E14000970,Liberal Democrat,Anthony,Sycamore,884,0.022339592,-0.1382255
E14000970,The North East Party,John,Tait,601,0.01518789,
E14000971,Conservative,James,Wharton,24221,0.467613954,0.078285341
E14000971,Labour and Co-operative,Louise,Baldock,19175,0.370195185,-0.012530931
E14000971,UK Independence Party,Ted,Strike,5480,0.105797633,0.076543795
E14000971,Liberal Democrat,Drew,Durning,1366,0.026372184,-0.124769332
E14000971,Green,Jacqui,Lovell,952,0.018379443,
E14000971,Independent,Steve,Walmsley,603,0.011641601,
E14000972,Labour,Tristram,Hunt,12220,0.393128298,0.004923801
E14000972,UK Independence Party,Mick,Harold,7041,0.226515249,0.183336931
E14000972,Conservative,Liam,Ascough,7008,0.22545361,0.015013203
E14000972,Independent,Mark,Breeze,2120,0.068202291,
E14000972,Liberal Democrat,Zulfiqar,Ali,1296,0.041693476,-0.175091249
E14000972,Green,Jan,Zablocki,1123,0.036127911,
E14000972,Cannabis is Safer than Alcohol Party,Ali,Majid,244,0.007849698,
E14000972,Ubuntu Party,Paul,Toussaint,32,0.001029469,
E14000973,Labour,Ruth,Smeeth,15429,0.39915662,-0.044046684
E14000973,Conservative,Ben,Adams,10593,0.27404667,0.035714498
E14000973,UK Independence Party,Geoffrey,Locke,9542,0.246856729,0.185034657
E14000973,Liberal Democrat,Paul,Roberts,1137,0.029414808,-0.147717245
E14000973,Green,Sean,Adam,1091,0.028224763,
E14000973,Independent,John,Millward,508,0.013142236,
E14000973,Independent,Craig,Pond,354,0.009158173,
E14000974,Labour,Robert,Flello,15319,0.391720152,0.004136091
E14000974,Conservative,Joe,Rich,12780,0.326795714,0.042845097
E14000974,UK Independence Party,Tariq,Mahmood,8298,0.212187076,0.177985531
E14000974,Liberal Democrat,Peter,Andras,1309,0.033472268,-0.125189781
E14000974,Green,Luke,Bellamy,1029,0.026312425,
E14000974,Trade Unionist and Socialist Coalition,Matt,Wright,372,0.009512364,
